fwe.lower,aqem.code,gen,sp,streamzone_euc,streamzone_hyc,streamzone_erh,streamzone_mrh,streamzone_hrh,streamzone_epo,streamzone_mpo,streamzone_hpo,streamzone_lit,streamzone_pro,tachlong_cr,tachlong_er,tachlong_mr,tachlong_hr,tachlong_ep,tachlong_mp,tachlong_est,tachlong_out,tachtrans_rich,tachtrans_bcsa,tachtrans_ppdsa,tachtrans_mapb,tachtrans_tmpw,tachtrans_lake,tachtrans_gw,tachalt_low,tachalt_pie,tachalt_alt,tachsub_fbcp,tachsub_grvl,tachsub_sand,tachsub_silt,tachsub_macp,tachsub_micp,tachsub_twro,tachsub_odli,tachsub_mud,currpref_lib,currpref_lip,currpref_lrp,currpref_rlp,currpref_rhp,currpref_rhb,currpref_ind,tachcurr_null,tachcurr_slow,tachcurr_medium,tachcurr_fast,tachtemp_psy,tachtemp_the,tachtemp_eut,tachph_less4,tachph_4to4.5,tachph_4.5to5,tachph_5to5.5,tachph_5.5to6,tachph_gre6,tachsal_frw,tachsal_brw,tachsap_x,tachsap_o,tachsap_b,tachsap_a,tachsap_p,tachtroph_oli,tachtroph_meso,tachtroph_eu,feedingtype_gra,feedingtype_min,feedingtype_xyl,feedingtype_shr,feedingtype_gat,feedingtype_aff,feedingtype_pff,feedingtype_pre,feedingtype_par,feedingtype_oth,tachfood_mior,tachfood_detl1,tachfood_dpg1,tachfood_limi,tachfood_lima,tachfood_dag1,tachfood_lmic,tachfood_lmac,tachfood_vert,tachfeed_abs,tachfeed_dpf,tachfeed_shr,tachfeed_scr,tachfeed_fif,tachfeed_pie,tachfeed_pre,tachfeed_par,locotype_sws,locotype_swd,locotype_bub,locotype_spw,locotype_ses,locotype_oth,tachloco_flr,tachloco_ssw,tachloco_wsw,tachloco_crw,tachloco_bur,tachloco_int,tachloco_tat,tachloco_pat,tachrespir_teg,tachrespir_gil,tachrespir_pls,tachrespir_spi,tachrespir_ves,tachsize_less0.25,tachsize_0.25to0.5,tachsize_0.5to1,tachsize_1to2,tachsize_2to4,tachsize_4to8,tachsize_gre8,tachresis_egg,tachresis_coc,tachresis_hou,tachresis_did,tachresis_non,tachdisp_aquapass,tachdisp_aquaact,tachdisp_aerpass,tachdisp_aeract,tachaqua_egg,tachaqua_larva,tachaqua_nymph,tachaqua_adult,tachlong_less1,tachlong_gre1,tachcycle_less1,tachcycle_one,tachcycle_gre1,tachrepro_ovo,tachrepro_fie,tachrepro_cie,tachrepro_fic,tachrepro_frc,tachrepro_vec,tachrepro_tec,tachrepro_ase
Tabanidae Gen. sp.,8485,NA,NA,0,0,0,0,0,0,0,0,10,0,1,2,2,2,3,2,2,2,0,3,4,3,2,3,0,3,1,0,0,1,3,0,3,0,0,4,4,0,1,0,0,0,0,0,2,2,1,0,0,1,0,1,1,1,1,1,3,3,1,0,2,3,2,0,0,2,2,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0,0,5,5,0,0,0,1,0,2,5,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,1,3,0,1,0,3,1,2,0,0,3,0,0,3,0,0,0,0,3,0,0,2,0
Tanypodinae Gen. sp.,6972,NA,NA,0.672169811,0.691037736,0.872641509,0.752358491,0.775943396,0.79245283,0.455188679,0.219339623,4.200471698,0.568396226,2,2,2,2,2,2,0,3,0,3,0,0,1,2,0,1,2,2,2,1,3,2,3,0,1,1,4,0.0125,0.1125,0.15,0.1375,0.175,0,0.4125,0,1,2,2,2,0,0,2,3,3,3,3,3,3,0,1,3,3,2,0,1,2,3,0,0,0,0,6,0,0,4,0,0,0,0,1,1,0,1,3,5,0,0,0,0,0,0,0,3,0,0,0.010526316,2.410526316,6,1.357894737,0.221052632,0,0,3,2,1,1,0,0,3,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,3,2,1,1,1,0,3,3,0,3,0,0,3,0,0,0,0,1,3,0,0,0
Ecdyonurus sp.,5053,Ecdyonurus,sp.,0.111111111,0.703703704,3,2.666666667,2.074074074,1.074074074,0.333333333,0,0.037037037,0,3,3,5,2,2,1,0,1,3,2,0,0,0,1,0,3,2,1,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,3,2,1,1,0,0,0,0,1,1,3,3,0,1,3,3,1,0,2,3,0,5,0,0,0,5,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2.5,0,4.5,0,3,0,0,1,5,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,2,0,0,1,2,3,1,1,3,3,3,0,0,3,1,1,3,0,0,2,0,3,0,0,0,0
Leptophlebiidae gen. Sp.,7201,NA,NA,0.136363636,0.772727273,2,2.454545455,2.181818182,0.818181818,0.272727273,0.090909091,1.272727273,0,0.333333333,1.166666667,2.5,2.5,1.5,0.5,0,1.5,0.833333333,2.666666667,0.833333333,0.166666667,0.5,0.666666667,0,2.833333333,1.333333333,0.333333333,2,0.833333333,1,0.5,1.833333333,0,1.666666667,1.833333333,0.333333333,0,0,0,0,0,0,1,1.166666667,2.166666667,0.833333333,0,NA,NA,NA,0.166666667,0.166666667,0.333333333,0.666666667,1.666666667,3,3,0,0.166666667,2,1.833333333,0.666666667,0,1.833333333,1.666666667,0.5,0,0,0,0,10,0,0,0,0,0,0.333333333,2.333333333,1.333333333,2.333333333,0,0,0,0,0,0,1.5,1.833333333,1,0,0,0,0,0,3,0,7,0,0,0,0,0.666666667,3.666666667,0.333333333,0.5,0,0,1,3,0,0,0,0,0,2.5,1.166666667,0,0,0,0.833333333,0,0,0.166666667,2.166666667,1.5,1,1,1.833333333,3,3,0,0,3,0,0,3,0.166666667,0,0.333333333,2.166666667,0.666666667,0,0,0,0
Glossosoma sp.,5316,Glossosoma,sp.,0.5,1.333333333,3.25,3.083333333,1.666666667,0.166666667,0,0,0,0,1,4,3,3,1,1,0,1,3,2,0,1,0,0,0,2,2,0,5,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,3,1,2.333333333,0,0,0,0,0,0,1,3,3,0,1,2,1,0,0,3,1,0,8,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,3,1,0,0,0,0,2,0,2,0,1,2,1,1,3,3,3,0,3,0,0,2,1,0,0,0,3,0,0,0,0
Goeridae Gen. sp.,9981,NA,NA,0.933333333,1.866666667,2.4,1.666666667,1.933333333,0.8,0.133333333,0,0.266666667,0,1,2.5,2.25,2,1,0.5,0.25,0.75,1.75,1.75,0,0,0.25,0.5,0,2.5,0.75,0.5,3.75,1.5,1.25,0,1,0,0,0.25,0,0,0,0,1,0,0,0,0.25,1.25,3,1.25,2,0,0,0,0,0,1,1.666666667,3,3,0.25,1,2,2,0.5,0,2.75,2,0.25,9,0,0,0,1,0,0,0,0,0,0,1,1.25,3.75,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,10,0,0,0,0,0,4.75,0,0,0.75,0.25,2,3,0,0,0,0,0,2.25,1.25,0,0,0,0,0,0,0,3,1,1,1,2,3,3,3,0,2,0,0,3,0,0,0,0.5,1.25,0,0,0,0
Heptageniidae Gen. sp.,5458,NA,NA,0,1,3,2,2,2,0,0,0,0,1,2.4,3,2.4,2,0.6,0,0.6,3.8,1.4,0,0,0,0.8,0,2.8,1.8,1.2,4.6,1,0.6,0.2,0.2,0,0.6,0.6,0.2,0,0,0,0,1,0,0,0.2,1.4,1.8,2,1.333333333,0.333333333,0,0.2,0.2,0.2,0.8,1.2,3,3,0,1.2,2.6,2.2,0.6,0,1.8,2.2,0.2,8.085365854,0,0,0,1.914634146,0,0,0,0,0,0.4,1.8,1.2,2.8,0.6,0,0,0,0,0,0.6,0.8,3,0,0,0,0,0,2,0,8,0,0,0,0,0.8,5,0,0.2,0,0,1,3,0,0,0,0,0,0.2,3,0,0,0,1.6,0,0,1,2.2,2.8,1.2,1,3,3,3,0,0,3,0.6,0.6,3,0,0,1,1.6,1.2,0,0,0,0
Leptoceridae Gen. sp.,5726,NA,NA,0.375,0.357142857,0.392857143,0.607142857,1.678571429,2.428571429,1.392857143,0.107142857,2.642857143,0.017857143,0.4,1.1,1.1,1.9,2.7,2.4,0.6,3.2,0.6,2.2,1.5,0.5,0.4,2.5,0,3,0.2,0.1,2.2,0.5,1.3,0.3,3.3,0.2,1.7,0.6,0.6,0,0,1,0,0,0,0,1.5,2.9,1.2,0.1,0.5,0.5,0,0.1,0.3,1,2.1,2.4,3,3,0.7,0.222222222,0.888888889,2.777777778,1.222222222,0,1.4,1.8,1.3,1.166666667,0,0,3.666666667,1.611111111,0,0,2.472222222,0,1.083333333,0,1.5,0.2,1.2,3.1,0,0.3,0.4,0,0,0.4,3,1.5,0,0,0.2,0.1,0,5,0,5,0,0,0,0,0.8,4.2,0.1,0,0,0,2.4,2.1,0,0,0,0,0,2.7,1.2,0,0,0,0,0,0,0.2,2.5,1.3,1,1,2.3,3,3,3,0,3,0.1,0,3,0.2,0,0,0,3,0.1,0,0,0
Limoniidae Gen. sp.,8483,NA,NA,0,0.5,0.75,1,1.5,0.75,0,0,5.5,0,1,1,1,1,1,1,1,0,0,2,2,2,0,1,0,3,0,0,4,2,2,1,3,0,1,3,1,0,0,0,0,0,0,1,1,1,2,2,0,1,2,0,0,2,2,1,1,3,1,0,1,3,2,0,1,3,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,3,0,0,0,1,0,0,0,6.666666667,3.333333333,0,0,0,0,0,2,3,0,0,0,1,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,2,0,1,2,1,2,1,0,0,1,0,0,3,1,0,1,0,1,0,0,0,0
Naididae/Tubificidae Gen. sp.,20200,Naididae/Tubificidae,Gen. sp.,0.15625,0.15625,0.5,0.875,1.21875,1.84375,1.59375,0.90625,1.90625,0.84375,0.375,0.75,1.1875,1.1875,1.625,1.5625,0.0625,1.25,0.1875,2.1875,1.75,0,0.1875,1.9375,0.625,3,0.1875,0,1.0625,1.3125,1.875,1.5,2.625,1,0,1.125,1.6875,0,0.230769231,0.358974359,0.179487179,0.025641026,0.025641026,0.179487179,2.375,2.125,0.9375,0.25,0.2,1,0,0.1875,0.25,0.375,1.375,1.75,2.75,2.9375,0.8125,0,1.0625,2.5625,1.875,0.125,0.625,2.125,1.625,2.13559322,0,0,0,7.06779661,0,0.169491525,0.627118644,0,0,0.25,2,0,2.0625,0,0,0.1875,0.125,0,0.125,2.6875,0,1,0,0,0.1875,0,0.05,1.775,0.875,6.55,0.65,0.1,0,0,1.125,0,0.6875,0.9375,0.25,0.0625,3,0.375,0,0,0,0.5625,1.6875,1.875,2.125,0.625,0,0,0,3,0,0,0,1.5,0.5,0,0,3,3,0,3,0,1,0,0,3,0,2,1,0,0,0,0,3
Potamophylax sp.,6527,Potamophylax,sp.,1.166666667,2.722222222,2.777777778,2.444444444,0.5,0.222222222,0.055555556,0,0.111111111,0,1.1875,2.8125,2.5625,1.25,0.5625,0.3125,0.125,1.375,1.1875,1.125,0.75,0.5,0.625,1.0625,0,2.125,1.375,0.5,2.125,0.875,0.5625,0.0625,1.6875,0.1875,0.1875,1.75,0.3125,0,0,0,0,1,0,0,0.9375,2.0625,1.25,1.5,1.75,0,0,0,0,1,2.2,2.466666667,2.933333333,3,0.125,1.3125,2.5625,1.8125,0.375,0,1.833333333,0.75,0.25,2,0,0,6,0,0,0,2,0,0,0.0625,0.125,2.375,1.375,2.125,0,0.0625,0.5625,0,0,0.125,2.75,1,0,0,0.1875,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,2.375,2.125,0,0,0,0,0,0.5,2.125,1.125,0,0,0,0,0,1.1,2.1,0.5,1.8125,0,2.1875,2.5,3,2.875,0,1.75,0.1875,0.230769231,3,0,0,0,0,1.875,0,0,0.5,0
Hydraena sp.,5531,Hydraena,sp. Ad.,0.181818182,1,2.454545455,2.318181818,1.681818182,0.636363636,0,0,1.727272727,0,1,3,3,3,3,0,0,3,2,2,1,1,0,0,0,3,1,1,3,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,2,3,2,1,0,0,1,1,1,2,2,3,3,0,0,1,3,2,0,2,3,1,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,0,0,5,0,1,0,3,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,0,0,3,1,3,0,3,1,0,0,0,0,0,0,3,0
Sphaerium sp.,6886,Sphaerium,sp.,0,0,0,0.25,0.5,1.5,4.5,0,3.25,0,0,1,1,3,3,3,0,2,0,1,2,1,1,1,0,3,0,0,2,0,4,2,2,1,0,0,4,0,0,0,0,0,0,1,3,2,1,0,1,0,0,0,0,1,2,3,3,3,1,0,1,3,2,0,1,3,1,0,0,0,0,0,10,0,0,0,0,0,3,0,5,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,1,4,0,2,0,1,3,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,3,1,1,0,3,3,0,3,1,3,0,3,3,3,0,0,0,0,0,0,0
Baetidae Gen. sp.,4380,NA,NA,0,1,1,1,2,1,1,0,3,0,0.714285714,1.571428571,2.142857143,3.285714286,2.285714286,0.714285714,0.142857143,1.428571429,1.285714286,2.428571429,0.857142857,0,0.714285714,1,0,3,1,0.285714286,1.714285714,0.857142857,1.285714286,0.428571429,2.714285714,0,0.571428571,0.714285714,0.142857143,0,0,0,0,0,0,1,0.714285714,1.571428571,1.285714286,0.428571429,0,1,0,0.142857143,0.285714286,0.571428571,1,1.714285714,3,3,0.428571429,0.285714286,1,2.571428571,1.428571429,0,1.142857143,2.571428571,1.571428571,5,0,0,0,5,0,0,0,0,0,0,1.571428571,0.571428571,2.571428571,0.428571429,0.142857143,0.285714286,0.714285714,0,0,1.285714286,0.571428571,2.285714286,0,0,0.428571429,0,0,6.294117647,0.294117647,3.411764706,0,0,0,0,2.714285714,1.857142857,0.142857143,0.142857143,0,0,1,2,0,0,0,0,0,3,0.142857143,0,0,0,1.285714286,0,0,0,1.857142857,2,1.857142857,1,2.142857143,3,3,0,0,3,0,0,1.714285714,2.142857143,0.428571429,0.142857143,1.571428571,1.285714286,0,0,0,0
Brachyptera sp.,4489,Brachyptera,sp.,0.238095238,2.238095238,3.571428571,2.142857143,1.238095238,0.476190476,0.095238095,0,0,0,1,2,4,3,1,1,0,1,5,3,0,0,0,1,0,3,2,0,4,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,1,1,1,2,3,3,0,1,3,3,0,0,3,1,1,7,0,0,0,3,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,0,5,0,0,0,5,1,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,2,0,2,2,0,1,3,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0
Prosimulium sp.,6591,Prosimulium,sp.,0,2,4,3,1,0,0,0,0,0,1,2,2,2,0.5,0.5,0,0.5,5,2.5,0.5,0,1,0,0,1,2.5,1.5,4,0.5,0,0,4.5,0,1,1,0,0,0,0,0,0,1,0,0,0.5,2,2.5,2.5,2,3,0.5,0.5,1.5,2.5,2,2.5,3,0,1,2.5,3,0.5,0,2,1.5,0.5,1,0,0,0,0,0,9,0,0,0,0,2.5,0,1,0,0,0.5,0,0,0,0,0,1,3,0,0,0,0,0,0,1,9,0,0,0,0,2,0,1,4,0,3,1,0,1.5,0,0,1,2,0,0,0,0,1,0,0,1,0,2,1.5,3,1,2,3,3,0,3,0.5,0,2,3,0,1,0,3,1,0,1,0
Enchytraeidae Gen. sp.,5101,NA,NA,4,0,4,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,1,0,3,2,2,1,2,2,1,2,0,0,3,3,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,2,3,3,3,3,0,1,3,3,2,1,1,1,1,0,0,0,0,10,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,3,2,0,0,0,2,2,0,2,0,1,0,0,3,0,0,0,3,0,0,0,0
Lumbriculidae Gen. sp.,7490,NA,NA,1.3,0.9,1.8,1.2,0.9,1,0.8,0.2,0.7,1.2,2,2,2,2,2,2,0,0,3,2,0,1,0,2,2,3,1,1,3,5,2,0,1,1,0,0,2,0.090909091,0.454545455,0.090909091,0.363636364,0,0,0,1,1,3,3,1,0,0,0,1,2,3,3,3,3,0,0,3,3,1,0,3,1,1,0,0,0,0,10,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,1,0,0,0,3,3,0,3,0,1,0,0,3,0,0,0,3,0,0,0,0
Chaetopterygini/Stenophylacini Gen. sp.,10370,NA,NA,1.312977099,2.175572519,2.057251908,1.309160305,0.629770992,0.354961832,0.167938931,0.034351145,1.950381679,0.007633588,1.1875,2.8125,2.5625,1.25,0.5625,0.3125,0.125,1.375,1.1875,1.125,0.75,0.5,0.625,1.0625,0,2.125,1.375,0.5,2.125,0.875,0.5625,0.0625,1.6875,0.1875,0.1875,1.75,0.3125,0.14010989,0.096153846,0.074175824,0.263736264,0.395604396,0.013736264,0.016483516,0.9375,2.0625,1.25,1.5,1.75,0,0,0,0,1,2.2,2.466666667,2.933333333,3,0.125,1.3125,2.5625,1.8125,0.375,0,1.833333333,0.75,0.25,1,0,0,7,0,0,0,2,0,0,0.0625,0.125,2.375,1.375,2.125,0,0.0625,0.5625,0,0,0.125,2.75,1,0,0,0.1875,0,0,0.09375,0.21875,5.84375,3.75,0.09375,0,0,0,5,0,0,0,0,2.375,2.125,0,0,0,0,0,0.5,2.125,1.125,0,0,0,0,0,1.1,2.1,0.5,1.8125,0,2.1875,2.5,3,2.875,0,1.75,0.1875,0.230769231,3,0,0,0,0,1.875,0,0,0.5,0
Chelifera sp.,4638,Chelifera,sp.,0,0,0,2,5,3,0,0,0,0,2,2,2,2,0,0,0,0,2,3,0,2,0,0,0,2,1,1,3,1,1,1,4,0,3,1,2,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,1,3,3,3,3,0,1,1,3,1,0,1,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,1,0,2,3,0,3,0,0,3,2,0,0,0,0,0,0,1,0
Chironomini Gen. sp.,4644,NA,NA,0.063636364,0.036363636,0.072727273,0.190909091,0.390909091,0.790909091,0.754545455,0.390909091,6.736363636,0.572727273,1,1,1,1,3,3,1,3,1,4,4,2,3,4,0,3,0,0,4,2,3,2,5,0,3,1,4,0,0.103448276,0.137931034,0.068965517,0.034482759,0,0.655172414,3,1,0,0,1,2,0,2,2,2,3,3,3,3,2,0,1,3,3,3,0,2,3,0,0,0,0,10,0,0,0,0,0,0,5,0,2,2,0,1,1,0,0,3,2,1,2,0,1,1,0,0,5.307692308,1.961538462,2.615384615,0.115384615,0,0,1,3,2,1,2,0,3,1,0,0,0,0,0,1,3,2,0,0,0,0,0,1,3,2,1,3,1,0,3,3,0,3,0,0,1,3,1,0,0,1,3,0,0,0
Hemerodromia sp.,5442,Hemerodromia,sp.,0,0,0,2,5,3,0,0,0,0,2,2,2,2,0,0,0,0,2,3,0,2,0,0,0,2,1,1,3,1,1,1,4,0,3,1,2,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,1,3,3,3,3,0,1,1,3,1,0,1,3,1,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,1,0,2,3,0,3,0,0,3,2,0,0,0,0,0,0,1,0
Tanytarsini Gen. sp.,6977,NA,NA,0.914634146,0.524390244,0.609756098,0.414634146,0.37804878,0.487804878,0.231707317,0.073170732,5.536585366,0.829268293,1,2,2,2,1,0,1,3,0,3,1,1,2,2,0,3,2,1,3,1,2,1,4,0,2,2,2,0.083333333,0.083333333,0.083333333,0.083333333,0.333333333,0,0.333333333,2,2,2,1,1,2,0,1,1,3,3,3,3,3,2,1,3,2,1,0,2,3,1,1.581395349,0,0,0,6.302325581,0.953488372,1.162790698,0,0,0,1,4,1,2,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0.625,6,3.375,0,0,0,2,3,0,1,2,0,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,3,1,1,3,1,0,3,3,0,3,0,0,3,3,1,0,0,1,3,0,0,0
Ephemerellidae Gen. sp.,8408,NA,NA,0,0.2,1.2,2.9,2.3,1.7,0.6,0,1.1,0,0.666666667,3,4.333333333,5,3.666666667,1,0,1.333333333,3,2.666666667,0,0,0.666666667,0.666666667,0,3,1.333333333,0,3.333333333,1.666666667,1,0.666666667,3.666666667,0,3,2.666666667,1,0,0.125,0.125,0.625,0.125,0,0,0,3,3,1.333333333,0,1,0,0,0.666666667,0.666666667,2,2,3,3,0,0.666666667,2.333333333,2,0.666666667,0,2,2.333333333,0,5,0,0,0,5,0,0,0,0,0,0,2.333333333,2.333333333,3,2,0,0.666666667,0,0,0,1.666666667,1.333333333,1.666666667,0,0,0.666666667,0,0,0.6,0.8,8.6,0,0,0,0,0.666666667,5,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,1.666666667,0,0,0.666666667,1,2,2.333333333,1,2.666666667,3,3,0,0,3,0,0,3,0.666666667,0,0.666666667,3,0,0,0.666666667,0,0
Glossiphoniidae Gen. sp.,7458,NA,NA,0,0,0,0,1,2,2,1,4,0,0,0,0,0,0,0,0,3,1,2,3,0,0,2,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,3,3,2,0,NA,NA,NA,0,0,0,0,1,3,3,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,1,3,0,3,3,0,2,0,3,0,3,0,2,0,0,0,1,0,0,0
Hydroporinae Gen. sp.,11628,NA,NA,0.597014925,0.28358209,0.23880597,0.492537313,0.671641791,0.28358209,0.47761194,0,6.955223881,0,0,0.285714286,0.771428571,0.714285714,0.2,0,0,4,0.228571429,0.828571429,2.228571429,1.628571429,0.228571429,0.942857143,0.171428571,3,0.571428571,0.228571429,0.228571429,0.8,0.771428571,0.257142857,2.114285714,0,0,2.2,2.114285714,0.2,0.338461538,0.169230769,0.123076923,0.153846154,0,0.015384615,3,0.771428571,0.228571429,0,1.4,0,0,0.285714286,0.342857143,1,1.171428571,1.4,2.885714286,3,0.342857143,0.068965517,1,2.655172414,1.482758621,0.137931034,0.771428571,1.742857143,1.828571429,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,2,3,0,0,0,3,0,0,3,0,0,0,5,0,5,0,0,0.942857143,0,2.828571429,2.942857143,0,0.285714286,0,0,1,0,0,3,0,0,2.857142857,0.314285714,0,0,0,0,0,0,0,0,3,0.542857143,1,0,2.828571429,3,3,0,2.057142857,0.942857143,3,0,1.114285714,2.828571429,0,0,0,3,0,0,0,0
Turbellaria Gen. sp.,8831,Turbellaria,Gen. sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polycentropodidae Gen. sp.,8478,NA,NA,1.065217391,0.97826087,1.913043478,1.869565217,1.52173913,0.673913043,0.239130435,0.065217391,1.673913043,0,0.5,1,1.5,1.5,1.666666667,1.5,1,3,1,2.166666667,1.333333333,0.333333333,0.333333333,1.833333333,0,2.666666667,0.666666667,0.666666667,3,0.666666667,0.666666667,0,2.666666667,0.333333333,1.166666667,1,0.5,0,0,0,1,0,0,0,1.833333333,2.5,0.833333333,0.166666667,1,0,0,0.4,0.8,2.2,2.8,3,3,2.666666667,0.5,0.5,1.333333333,2.333333333,1.166666667,0,1.5,1.666666667,1,0,0,0,0,0,0,1,9,0,0,0,0.5,0.333333333,0.833333333,0.333333333,0,2.166666667,2.166666667,0,0,0,0.2,0,1.4,0,3,0,0,0,0,0,10,0,0,0,0.833333333,0.833333333,0.166666667,0,2.5,0,3,0,0,0,0,0,0,1.5,2.166666667,0.333333333,0,0,0,0,0,0.2,3,1.8,1,1,1.8,3,3,3,0,2.333333333,0.333333333,0.4,1.8,2.6,0,0,0,2.8,0.2,0,0,0
Sialis sp.,6823,Sialis,sp.,0,0.5,2,1,0.5,2.5,0.5,0,2,1,1,2,2,2,1,1,0,2,2,4,2,1,0,2,0,3,3,2,1,3,3,3,1,0,0,2,2,0,0,0,1,0,0,0,3,3,2,0,1,0,0,1,2,3,3,3,3,3,1,0,0,3,3,0,2,3,1,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,1,1,5,0,0,0,0,0,0,0,3,0,0,4,1,5,0,0,0,0,1,4,3,0,0,0,0,3,0,1,0,0,0,0,3,2,0,0,NA,NA,NA,NA,NA,0,2,0,1,0,3,0,0,0,3,3,1,0,0,0,0,3,0,0,3,0
Athripsodes sp.,4371,Athripsodes,sp.,0,0,0.7,1.8,3.1,1.3,0.6,0,2.4,0.1,0,1,2,3,4,3,1,1,0,4,2,0,0,3,0,3,0,0,4,2,1,1,2,0,3,1,1,0.333333333,0,0.111111111,0.333333333,0.111111111,0,0.111111111,1,3,1,0,1,0,0,0,0,2,3,3,3,3,1,0,1,3,1,0,1,3,0,0,0,0,5,3,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,1,1,3,3,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0
Polycelis sp.,7744,Polycelis,sp.,1.333333333,0,2,0.666666667,2.333333333,1.666666667,1,0,1,0,1,4,2,2,1,1,0,3,2,3,3,1,1,2,1,3,1,1,3,0,0,0,3,0,3,2,0,0,0,0,0,0,0,1,2,3,2,0,1,2,0,1,1,1,1,2,3,3,1,0,2,2,0,0,1,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,1,0,5,0,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,1,2,0,0,3,3,0,3,0,3,0,3,0,0,0,0,2,0,0,0,1
